[2019-07-25 04:47:17] Success : Unzip complete!  Public/files/uploads_pack/Application.zip|Public/files/update_tmp_pack/
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files/123123
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files/update/123123
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/54540
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/files/update
[2019-07-25 04:47:17] Success : Create a backup file path  Public/files/backup_tmp_pack/Application/test_aaa/images
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/123123/filename.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/123123/filename_1.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/123123/filename_2.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/abc.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/123123/filename.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/123123/filename_1.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/123123/filename_2.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/54540/filename.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/54540/filename_1.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/54540/filename_2.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/filename.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/filename_1.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/55555/filename_2.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/filename.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/filename_1.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/files/update/filename_2.txt
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/001.jpg
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/404.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/4041.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/add.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/btnbg.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/btnbg1.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/btnbg2.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/buttonbg.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/c01.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/c02.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/c03.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/cbg.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/clist.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/close.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/close1.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/cloud.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d01.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d02.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d03.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d04.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d05.png
[2019-07-25 04:47:17] Success : Copy a backup file  Public/files/backup_tmp_pack/Application/test_aaa/images/d06.png
